"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
4048,75,"1","yes","3","electric gate | optic fiber | security door | external exposure | balcony | single tv system | shared garden | window frames in glass / wood","8","1 in garage/box","available","160",1969,"good condition / liveable","corvetto","1","central","g",260000
4049,78,"1","yes","3","electric gate | optic fiber | balcony | centralized tv system | window frames in glass / wood","5","no","available","120",1929,"good condition / liveable","corso san gottardo","1","independent","g",390000
4050,55,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc","8","no","available",NA,2023,"new / under construction","bisceglie","1","independent","b",222000
4051,85,"1","no","3","optic fiber | security door | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","5","no","available from 30/05/2024","140",1900,"good condition / liveable","porta venezia","ground floor","central","f",529000
4052,95,"1","yes","4","balcony | cellar | shared garden",NA,"no","available","1600",NA,"good condition / liveable","gallaratese","2","central","g",295000
4053,80,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | centralized tv system | cellar | window frames in triple glass / pvc","4","no","available",NA,2027,"new / under construction","cascina merlata - musocco","2","central","a",325000
4054,72,"1","yes","2","electric gate | security door | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure","7","1 in garage/box","available","200",1960,"excellent / refurbished","cascina dei pomi","6","central","g",265000
4055,137,"2","yes","4","external exposure | balcony | centralized tv system | cellar | shared garden","16","1 in garage/box","available","300",1974,"to be refurbished","ca' granda","1","central",NA,399000
4056,60,"1","yes","2","optic fiber | video entryphone | security door | external exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood","6","no","available","170",1960,"to be refurbished","piazzale siena","3","central","g",220000
4057,100,"2",NA,"3","electric gate | video entryphone | alarm system | security door | furnished","1 floor","no","available","100",2000,NA,"melchiorre gioia","ground floor","independent","g",670000
4058,114,"2","yes","3","electric gate | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","6","no","available","No condominium fees",2025,"new / under construction","certosa","1","independent","a",388575
4059,60,"1","yes","3","electric gate | video entryphone | security door | external exposure | full day concierge | centralized tv system | only kitchen furnished | window frames in double glass / wood","7","no","available","110",2023,"excellent / refurbished","corvetto","mezzanine","central","c",270000
4060,89,"1","yes","3","balcony | full day concierge | shared garden","5","no","available","230",1956,"good condition / liveable","san siro","4","central","f",320000
4061,85,"2","yes","3","tennis court | electric gate | optic fiber | alarm system | security door | closet | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood","5","1 in shared parking","available","280",2009,"excellent / refurbished","cenisio","2","central","c",515000
4062,65,"1","yes","2","optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | shared garden | window frames in double glass / wood | double exposure","7","no","available","217",1970,"good condition / liveable","certosa","4","central","g",193000
4063,100,"1","no","4","electric gate | optic fiber | security door | closet | centralized tv system | partially furnished | shared garden | window frames in double glass / pvcdouble exposure","2","1 in shared parking","available","100",1920,"good condition / liveable","crescenzago","2","independent","f",329000
4064,205,"3","yes","4","electric gate | optic fiber | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood | double exposure","6","1 in garage/box","available","550",1930,"excellent / refurbished","san vittore","2","central","e",1495000
4065,50,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc","4","no","available","100",1960,"excellent / refurbished","maggiolina","2","central","f",280000
4066,44,"1","no","2","attic | security door | external exposure | centralized tv system | window frames in double glass / wood","5","no","available","91",1930,"good condition / liveable","città studi","5","independent","g",235000
4067,90,"1","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","8","1 in garage/box","available","260",1970,"good condition / liveable","gallaratese","4","central","g",248000
4068,45,"1","yes","2","electric gate | optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal","5","no","available","100",1920,"good condition / liveable","buenos aires","3","central","g",305000
4069,60,"1","yes","2","electric gate | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood","6","no","available","1",1968,"to be refurbished","bologna - sulmona","6","central","e",221900
4070,50,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | partially furnished | window frames in double glass / pvc","7","no",NA,NA,1960,"excellent / refurbished","corvetto","5","central","f",159000
4071,135,"2","yes","4","electric gate | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","5","no","available","No condominium fees",2025,"new / under construction","cenisio","3","central","a",983000
4072,85,"1",NA,"1","electric gate | optic fiber | video entryphone | alarm system | security door | half-day concierge | centralized tv system | shared garden | window frames in triple glass / pvcdouble exposure","5","no","available","125",1966,"new / under construction","bruzzano","semi-basement","central","f",185000
4073,45,"1","yes","2","security door | internal exposure | centralized tv system | furnished | cellar | window frames in glass / wood","6","no","available from 20/03/2028","83",1930,"good condition / liveable","sempione","2","independent","f",290000
4074,136,"2","yes","4","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","8","no","available","300",1960,"good condition / liveable","paolo sarpi","4","central","f",1120000
4075,53,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","8","no","available","150",1985,"excellent / refurbished","vigentino - fatima","6","central","a",199000
4076,73,"1","yes","3","electric gate | optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood","6","1 in garage/box","available","200",1969,"good condition / liveable","giambellino","1","central",NA,365000
4077,165,"2","yes","4","security door | balcony | full day concierge | cellar","4","no","available","No condominium fees",NA,"new / under construction","certosa","3","central","g",725000
4078,96,"1","yes","3","balcony | centralized tv system | window frames in double glass / pvcdouble exposure","5","no","available","300",1960,"excellent / refurbished","ascanio sforza","1","central","e",580000
4079,64,"1","no","3","optic fiber | security door | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / metal | double exposure","3","no",NA,"200",1940,"good condition / liveable","cenisio","mezzanine","central","e",329000
4080,62,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | terrace | full day concierge | pool | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood","27","no","available from 11/03/2024","250",2013,"excellent / refurbished","dergano","1","central","a",430000
4081,171,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | centralized tv system | window frames in double glass / wood","7","no","available","No condominium fees",2024,"new / under construction","vigentino - fatima","6","independent","a",867000
4082,80,"2","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal | double exposure","13","no","available","200",2015,"new / under construction","bovisa","1","central","a",350000
4083,52,"1","yes","2","security door | external exposure | balcony | single tv system | furnished | window frames in double glass / pvc","8","no","available","120",1970,"good condition / liveable","parco trotter","2","central","g",3e+05
4084,60,"1","yes","2","attic | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | furnished | window frames in double glass / pvc","5","no","available","267",NA,"good condition / liveable","porta nuova","mezzanine","central","e",560000
4085,95,"2","yes","3","balcony | full day concierge | furnished | shared garden | double exposure","5","no","available","208",NA,"excellent / refurbished","porta romana - medaglie d'oro","1","central","g",870000
4086,85,"1","yes","3","security door | internal exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / metal","5","no",NA,"267",1970,"good condition / liveable","baggio","3","central","g",168000
4087,95,"1","yes","3","optic fiber | video entryphone | security door | terrace | centralized tv system | window frames in triple glass / wood | double exposure","8","no","available","250",1940,"excellent / refurbished","città studi","7","central","f",450000
4088,120,"2","yes","3","video entryphone | cellar | private garden","7","1 in garage/box","available","No condominium fees",2023,"new / under construction","via calizzano","ground floor","central","a",355000
4089,43,"1","no","1","optic fiber | security door | internal exposure | centralized tv system | furnished | window frames in double glass / metal","4","no","available","40",1900,"excellent / refurbished","quadronno - crocetta","ground floor","independent","d",387000
4090,110,"2","yes","4","optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / wood","4","no","available","290",1950,"good condition / liveable","centrale","1","central","d",530000
4091,96,"2","yes","3","electric gate | optic fiber | video entryphone | security door | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","10","1 in garage/box","available",NA,2023,"new / under construction","vialba","1","central","a",340000
4092,140,"2","yes","4","electric gate | optic fiber | video entryphone | security door | terrace | full day concierge | centralized tv system | cellar | window frames in triple glass / pvcdouble exposure","10","no","available","500",2021,"new / under construction","centrale","8","central","a",1150000
4093,142,"2","yes","3","balcony | terrace | full day concierge | cellar | shared garden","8","1 in garage/box","available","420",1967,"to be refurbished","san siro","8","central","e",705000
4094,192,"2","yes","4","fireplace | alarm system | security door | balcony | terrace | single tv system | cellar | window frames in double glass / pvcdouble exposure","9","no","available","250",1970,"excellent / refurbished","villa san giovanni","9","central","g",930000
4095,25,"1","no","1","electric gate | internal exposure | balcony | window frames in double glass / metal","4","no","available","80",1900,"excellent / refurbished","corso san gottardo","4","independent","e",249000
4096,75,"1","no","3","optic fiber | alarm system | security door | closet | centralized tv system | window frames in glass / pvcdouble exposure","3","no","available","100",1920,"good condition / liveable","gorla","2","independent","f",220000
4097,153,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | centralized tv system | window frames in triple glass / pvc","2","no","available","200",2022,"new / under construction","centrale","2","central","a",949000
4098,181,"3","yes","4","electric gate | optic fiber | video entryphone | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","9","1 in garage/box","available","500",1960,"good condition / liveable","san siro","6","central","e",9e+05
4099,78,"1","no","2","electric gate | optic fiber | video entryphone | security door | centralized tv system | private garden | window frames in double glass / wood | double exposure","3","1 in garage/box","available","90",2010,"excellent / refurbished","quartiere adriano","ground floor","independent",NA,248000
4100,50,"1","yes","2","shared garden","6","no",NA,"100",1965,"excellent / refurbished","cimiano","mezzanine","central","f",219000
4101,55,"1","yes","2","optic fiber | video entryphone | security door | terrace | centralized tv system | window frames in double glass / metal | double exposure","4","no","available","250",1950,"excellent / refurbished","argonne - corsica","3","central","g",350000
4102,60,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","4","1 in shared parking","available","71",2008,"good condition / liveable","pezzotti - meda","1","independent","c",320000
4103,75,"1","no","3","electric gate | optic fiber | security door | centralized tv system | window frames in double glass / wood | double exposure","3","no","available","150",1950,"good condition / liveable","città studi","1","central","g",439000
4104,320,"3+","yes","4","optic fiber | security door | terrace | full day concierge","1 floor","2 in garage/box","available","No condominium fees",2006,"new / under construction","ponte nuovo","ground floor","independent",NA,2e+06
4105,100,"1","yes","4","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","5","no","available","200",1967,"to be refurbished","san carlo","4","central","b",215000
4106,90,"1","yes","3","optic fiber | security door | internal exposure | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood","5","no","available","240",1950,"excellent / refurbished","città studi","3","central",NA,530000
4107,90,"1","yes","3","electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood | double exposure","5","no","available","180",1900,"good condition / liveable","dergano","4","central","g",299000
4108,82,"1","yes","3","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","250",1930,"excellent / refurbished","certosa","2","central","g",327000
4109,185,"2","yes","4","security door | balcony | cellar","6","no","available","No condominium fees",NA,"new / under construction","solari","3","central","g",1129000
4110,42,"1","no","1","internal exposure | shared garden","3","no","available","100",1960,"excellent / refurbished","argonne - corsica","semi-basement","independent",NA,199000
4111,97,"2","yes","3","electric gate | video entryphone | alarm system | security door | full day concierge | centralized tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","7","no","available","No condominium fees",2025,"new / under construction","giambellino","ground floor","independent","a",417000
4112,55,"1","yes","2","optic fiber | video entryphone | security door | external exposure | balcony | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc","5","no","available",NA,1940,"excellent / refurbished","corvetto","1","independent","b",229000
4113,50,"1","yes","2","attic | optic fiber | video entryphone | security door | external exposure | centralized tv system | furnished | window frames in double glass / pvc","3","no","available","180",1970,"good condition / liveable","repubblica","2","central",NA,365000
4114,200,"2","yes","5","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","8","no","available","500",1950,"excellent / refurbished","morgagni","4","central","d",1690000
4115,86,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / metal","6","1 in garage/box","available","292",2011,"excellent / refurbished","rubattino","1","central","b",380000
4116,120,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | cellar | window frames in triple glass / pvcdouble exposure","5","1 in garage/box, 1 in shared parking","available","120",2024,"excellent / refurbished","bande nere","5","independent","a",690000
4117,160,"2","yes","4","optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","7","no","available","375",1930,"to be refurbished","bocconi","6","central","g",1090000
4118,100,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | centralized tv system | window frames in triple glass / pvc","4","no","available",NA,2024,"new / under construction","navigli - darsena","2","independent","a",785000
4119,80,"1","yes","3","optic fiber | security door | balcony | terrace | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","250",1960,"excellent / refurbished","chiesa rossa","1","central","g",330000
4120,75,"1","yes","1","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | full day concierge | centralized tv system | furnished | shared garden | window frames in triple glass / metal","8","1 in shared parking","available",NA,2019,"new / under construction","maggiolina","5","central","a",445000
4121,50,"1","no","2","optic fiber | external exposure | centralized tv system | shared garden | window frames in double glass / pvc","3","no",NA,"50",1950,"good condition / liveable","parco trotter","2","independent","g",169000
4122,80,"2","yes","3","optic fiber | security door | external exposure | balcony | centralized tv system | window frames in double glass / pvc","6","no",NA,"267",1970,"excellent / refurbished","baggio","5","central","f",240000
4123,85,"2","yes","3","optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure","8","no","available","180",1960,"excellent / refurbished","pasteur","2","central","d",480000
4124,45,"1","yes","1","electric gate | optic fiber | alarm system | security door | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","5","no","available","135",2024,"new / under construction","molise - cuoco","mezzanine","central",NA,160000
4125,290,"3","yes","5+","reception | alarm system | kitchen | only kitchen furnished","7","no","available","910",1950,"excellent / refurbished","porta venezia","6","central","g",2800000
4126,76,"1","yes","3","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / metal","5","no","available","200",2024,"new / under construction","paolo sarpi","1","central","a",660000
4127,45,"1","no","2","optic fiber | security door | internal exposure | centralized tv system | furnished","3","no",NA,"20",1990,"good condition / liveable","navigli - darsena","semi-basement","independent","c",139000
4128,70,"1","yes","3","optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","6","no","available","300",NA,"excellent / refurbished","garibaldi - corso como","2","central","e",575000
4129,60,"1","yes","2","electric gate | security door | internal exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood","8","no","available","1",1967,"to be refurbished","bologna - sulmona","6","central","g",221900
4130,72,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | single tv system | cellar | shared garden | window frames in double glass / pvc","5","no","available",NA,1970,"excellent / refurbished","affori","5","central","f",285000
4131,125,"2","yes","4","fireplace | attic | optic fiber | security door | internal exposure | closet | terrace | single tv system | cellar | shared garden | window frames in double glass / wood","3","no","available","250",1950,"excellent / refurbished","cadore","3","independent","g",850000
4132,120,"1","no","3","electric gate | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","4","no",NA,"208",1880,"good condition / liveable","garibaldi - corso como","2","independent","c",890000
4133,190,"1","yes","4","optic fiber | security door | closet | balcony | terrace | centralized tv system | partially furnished | window frames in glass / pvcdouble exposure","4","no",NA,NA,1998,"good condition / liveable","quarto oggiaro","4","central","e",299000
4134,75,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | terrace | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood","8","2 in garage/box, 2 in shared parking",NA,"200",2013,"excellent / refurbished","bisceglie","4","central","d",450000
4135,84,"1","yes","2","electric gate | optic fiber | video entryphone | security door | balcony | terrace | cellar | double exposure","2","1 in garage/box",NA,NA,2024,"new / under construction","dergano","2","independent","a",4e+05
4136,90,"2","no","3","optic fiber | closet | centralized tv system | shared garden | window frames in triple glass / pvcdouble exposure","2","no","available","83",1900,"good condition / liveable","affori","ground floor","independent","e",250000
4137,40,"1","no","1","security door | internal exposure | centralized tv system | cellar | shared garden | window frames in glass / pvc","3","no",NA,"120",1960,"good condition / liveable","barona","1","independent","g",145000
4138,155,"2","yes","4","electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / wood","7","no","available","300",1940,"to be refurbished","centrale","5","central","g",790000
4139,100,"1","yes","3","security door | full day concierge","5","no","available","150",NA,"excellent / refurbished","guastalla","ground floor",NA,"g",690000
4140,70,"1","no","2","electric gate | optic fiber | video entryphone | security door | single tv system | shared garden | window frames in double glass / wood | double exposure","1 floor","no",NA,"No condominium fees",2023,"new / under construction","bovisasca","ground floor","independent","a",195000
4141,90,"2","yes","3","security door | balcony | cellar","4","no","available","No condominium fees",NA,"new / under construction","pezzotti - meda","4","central","g",551000
4142,56,"1","yes","2","electric gate | optic fiber | alarm system | security door | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","8","no","available","200",1980,"excellent / refurbished","isola","1","central","d",445000
4143,84,"1","no","2","electric gate | optic fiber | video entryphone | alarm system | security door | full day concierge | single tv system | shared garden | double exposure","7","no","available","150",1970,"excellent / refurbished","cenisio","ground floor","central","c",292000
4144,93,"2","yes","3","electric gate | optic fiber | security door | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","5","no","available","250",1950,"good condition / liveable","porta venezia","3","central","f",599000
4145,86,"1","yes","4","optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","4","no","available","270",1967,"excellent / refurbished","quartiere forlanini","1","central","d",357000
4146,130,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","10","1 in shared parking","available","No condominium fees",2021,"excellent / refurbished","cascina merlata - musocco","2","independent","a",650000
4147,62,"1","yes","2","optic fiber | video entryphone | security door | closet | balcony | single tv system | furnished | window frames in double glass / pvcdouble exposure","3","no","available","125",1960,"excellent / refurbished","quartiere feltre","2","independent","e",280000
4148,64,"1","yes","2","optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal","5","no","available","170",1964,"good condition / liveable","certosa","5","central","d",215000
4149,20,"1","yes","1","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | half-day concierge | centralized tv system | furnished | shared garden | window frames in double glass / wood","5","no","available","85",1960,"good condition / liveable","vercelli - wagner","mezzanine","central","g",170000
4150,57,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | window frames in double glass / metal","5","no","available",NA,2018,"new / under construction","ponte lambro","5","central",NA,182500
4151,140,"2","yes","4","optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","4","1 in shared parking","available from 15/02/2024","275",1967,"excellent / refurbished","baggio","3","central","d",375000
4152,80,"1","yes","3","security door | balcony | cellar","6","no","available","No condominium fees",NA,"new / under construction","niguarda","6","central","g",336000
4153,105,"1","no","3","security door | balcony | centralized tv system | shared garden | window frames in double glass / wood | double exposure","2","no","available","200",1950,"good condition / liveable","san siro","mezzanine","central","f",398000
4154,95,"1","yes","3","electric gate | optic fiber | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal","7","1 in shared parking","available","300",1967,"good condition / liveable","cenisio","4","central","g",495000
4155,45,"1","yes","2","optic fiber | security door | internal exposure | terrace | centralized tv system | furnished | window frames in double glass / pvc","5","no","available","70",1960,"excellent / refurbished","bocconi","mezzanine","central",NA,379000
4156,135,"2","no","5","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | partially furnished | cellar | window frames in double glass / wood | double exposure","3","3 in shared parking","available","50",2020,"excellent / refurbished","ripamonti","1","independent","b",598000
4157,100,"1","yes","3","video entryphone | alarm system | security door | balcony | centralized tv system | cellar | window frames in double glass / wood | double exposure","6","no","available","167",1960,"good condition / liveable","navigli - darsena","4","central","d",495000
4158,101,"2","no","3","security door | terrace | furnished | shared garden | window frames in glass / metal | double exposure","3","1 in shared parking","available","150",1920,"excellent / refurbished","isola","2","independent","g",770000
4159,125,"2","yes","4","hydromassage | electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","8","no","available","225",1977,"excellent / refurbished","cascina dei pomi","3","central","c",558000
4160,70,"1","no","2","security door | internal exposure | balcony | centralized tv system | furnished | shared garden | window frames in double glass / pvc","5","no","available","50",1960,"good condition / liveable","santa giulia","4","independent","f",305000
4161,140,"2","no","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","3","no","available","416",1960,"good condition / liveable","casoretto","3","central","g",550000
4162,170,"3","no","5","electric gate | tavern | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | private garden | window frames in double glass / metal","2","1 in garage/box","available","140",1970,"good condition / liveable","giambellino","ground floor","independent","g",645000
4163,70,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | cellar | window frames in double glass / pvcdouble exposure","4","no","available","50",1980,"excellent / refurbished","san siro","1","central",NA,299000
4164,130,"2","yes","4","optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvc","7","no","available",NA,2024,"new / under construction","viale ungheria - mecenate","2","central","a",505000
4165,80,"2","no","3","electric gate | optic fiber | video entryphone | security door | closet | half-day concierge | centralized tv system | furnished | window frames in double glass / metal | double exposure","4","no","available","250",1900,"excellent / refurbished","turati","1","independent","c",850000
4166,75,"1","no","3","attic | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood","5","no",NA,"150",1930,"excellent / refurbished","città studi","1","central","f",349000
4167,133,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | centralized tv system | cellar | window frames in double glass / pvc","15","1 in garage/box","available",NA,2024,"new / under construction","affori","7","independent","a",575000
4168,95,"2","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | terrace","5","no","available",NA,NA,"excellent / refurbished","vincenzo monti","2","central","f",1100000
4169,46,"1","yes","2","external exposure | furnished | window frames in double glass / wood","6","no","available","167",2007,"excellent / refurbished","parco trotter","3","central",NA,295000
4170,65,"1","yes","2","optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","9","no","available","175",1970,"good condition / liveable","prato centenaro","9","central","g",250000
4171,40,"1","no","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | centralized tv system | shared garden | window frames in double glass / pvc","1 floor","no","available",NA,2024,"new / under construction","tre castelli - faenza","mezzanine","independent",NA,176000
4172,75,"2","no","3","electric gate | optic fiber | video entryphone | security door | closet | full day concierge | centralized tv system | private garden | window frames in double glass / pvcdouble exposure","7","no","available","120",1967,"new / under construction","crescenzago","mezzanine","central","g",330000
4173,70,"1","no","2","electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure","5","no","available","100",1960,"good condition / liveable","pezzotti - meda","5","independent","f",350000
4174,80,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal","8","no","available","120",1970,"new / under construction","palestro","ground floor","independent","b",659000
4175,72,"1","no","3","balcony | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","3","1 in garage/box","available","183",1970,"excellent / refurbished","affori","mezzanine","central","g",249000
4176,60,"1","yes","2","video entryphone | alarm system | balcony | terrace | full day concierge | furnished | shared garden | window frames in double glass / wood","5","1 in garage/box",NA,"120",1990,"excellent / refurbished","gratosoglio","2","independent",NA,275000
4177,105,"2","no","3","electric gate | optic fiber | video entryphone | security door | external exposure | closet | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc","3","no","available","220",1967,"excellent / refurbished","ghisolfa - mac mahon","mezzanine","central","e",440000
4178,172,"3","yes","4","optic fiber | video entryphone | security door | external exposure | balcony | terrace | full day concierge | furnished | cellar | window frames in double glass / pvc","7","no","available","300",1960,"good condition / liveable","ghisolfa - mac mahon","7","central","b",850000
4179,150,"2","yes","4","security door | balcony | terrace | centralized tv system | cellar | window frames in double glass / wood | double exposure","6","1 in garage/box",NA,NA,1970,"good condition / liveable","navigli - darsena","6","central","f",1450000
4180,118,"2","yes","3","video entryphone | alarm system | balcony | full day concierge | centralized tv system | cellar | shared garden",NA,"1 in shared parking","available","280",1930,"good condition / liveable","vercelli - wagner","1","central","e",855000
4181,65,"1","yes","2","optic fiber | external exposure | terrace | full day concierge | centralized tv system","5","no","available","208",1960,"to be refurbished","cermenate - abbiategrasso","1","central","g",249000
4182,47,"1","yes","2","reception | kitchen | cellar | shared garden | window frames in glass / metal | exposure south, east","5","1 in garage/box","available","260",1960,"to be refurbished","quadronno - crocetta","1","central",NA,445000
4183,125,"2","yes","3","fireplace | attic | optic fiber | security door | closet | full day concierge | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure","5","no","available","250",1900,NA,"arco della pace","4","independent","f",1100000
4184,45,"1","yes","1","electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / pvc","8","no","available","100",1966,"excellent / refurbished","affori","1","central","f",198000
4185,121,"2","yes","4","security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","5","no","available","292",1960,"good condition / liveable","ponte lambro","5","central","f",228000
4186,47,"1","no","2","security door | balcony | centralized tv system | window frames in double glass / metal | double exposure","4","no",NA,NA,1930,"good condition / liveable","ripamonti","2","independent","g",190000
4187,91,"1","yes","3","electric gate | optic fiber | security door | external exposure | balcony | centralized tv system | cellar | shared garden","14","1 in shared parking","available","220",1960,"to be refurbished","gallaratese","1","central","f",299000
4188,53,"1","no","2","optic fiber | video entryphone | security door | closet | centralized tv system | partially furnished | window frames in triple glass / pvc","4","no","available","50",1980,"new / under construction","cantalupa - san paolo","mezzanine","independent","f",175000
